indicador_id,nombre_indicador,grupo_indicador,ano,valor,valor_disponible
18,Tasa de egresos hospitalarios por enfermedad cerebrovascular,Egresos hospitalarios,2022,16.7,True
18,Tasa de egresos hospitalarios por enfermedad cerebrovascular,Egresos hospitalarios,2023,19.5,True
18,Tasa de egresos hospitalarios por enfermedad cerebrovascular,Egresos hospitalarios,2024,20.8,True
18,Tasa de egresos hospitalarios por enfermedad cerebrovascular,Egresos hospitalarios,2025,,False
19,Tasa de egresos hospitalarios por enfermedades isquémicas del corazón,Egresos hospitalarios,2019,S/D,False
19,Tasa de egresos hospitalarios por enfermedades isquémicas del corazón,Egresos hospitalarios,2021,,False
19,Tasa de egresos hospitalarios por enfermedades isquémicas del corazón,Egresos hospitalarios,2022,19.5,True
19,Tasa de egresos hospitalarios por enfermedades isquémicas del corazón,Egresos hospitalarios,2023,20.4,True
19,Tasa de egresos hospitalarios por enfermedades isquémicas del corazón,Egresos hospitalarios,2024,20.7,True
19,Tasa de egresos hospitalarios por enfermedades isquémicas del corazón,Egresos hospitalarios,2025,,False
20,Tasa de egresos hospitalarios por insuficiencia cardiaca,Egresos hospitalarios,2019,S/D,False
20,Tasa de egresos hospitalarios por insuficiencia cardiaca,Egresos hospitalarios,2021,,False
20,Tasa de egresos hospitalarios por insuficiencia cardiaca,Egresos hospitalarios,2022,12.3,True
20,Tasa de egresos hospitalarios por insuficiencia cardiaca,Egresos hospitalarios,2023,12.4,True
20,Tasa de egresos hospitalarios por insuficiencia cardiaca,Egresos hospitalarios,2024,12.9,True
20,Tasa de egresos hospitalarios por insuficiencia cardiaca,Egresos hospitalarios,2025,,False
21,Tasa de egresos hospitalarios por diabetes mellitus,Egresos hospitalarios,2019,S/D,False
21,Tasa de egresos hospitalarios por diabetes mellitus,Egresos hospitalarios,2021,,False
21,Tasa de egresos hospitalarios por diabetes mellitus,Egresos hospitalarios,2022,9.7,True
21,Tasa de egresos hospitalarios por diabetes mellitus,Egresos hospitalarios,2023,9.7,True
21,Tasa de egresos hospitalarios por diabetes mellitus,Egresos hospitalarios,2024,10.5,True
21,Tasa de egresos hospitalarios por diabetes mellitus,Egresos hospitalarios,2025,,False
22,Tasa de egresos hospitalarios en personas con diabetes mellitus y amputación del pie diabético de establecimientos pertenecientes al SNSS,Egresos hospitalarios,2019,S/D,False
22,Tasa de egresos hospitalarios en personas con diabetes mellitus y amputación del pie diabético de establecimientos pertenecientes al SNSS,Egresos hospitalarios,2021,,False
22,Tasa de egresos hospitalarios en personas con diabetes mellitus y amputación del pie diabético de establecimientos pertenecientes al SNSS,Egresos hospitalarios,2022,7.8,True
22,Tasa de egresos hospitalarios en personas con diabetes mellitus y amputación del pie diabético de establecimientos pertenecientes al SNSS,Egresos hospitalarios,2023,7.9,True
22,Tasa de egresos hospitalarios en personas con diabetes mellitus y amputación del pie diabético de establecimientos pertenecientes al SNSS,Egresos hospitalarios,2024,8.4,True
22,Tasa de egresos hospitalarios en personas con diabetes mellitus y amputación del pie diabético de establecimientos pertenecientes al SNSS,Egresos hospitalarios,2025,,False
