AnoIndicador,AnoInscritos,BasePago,IdEstablecimiento,IdEstablecimiento_denominador_original,servicio_salud_denominador,dependencia_denominador,comuna_denominador,establecimiento_denominador,poblacion_inscrita_validada_15_mas,poblacion_inscrita_validada_15_mas_hombres,poblacion_inscrita_validada_15_mas_mujeres,poblacion_estimada_hta_15_mas,poblacion_estimada_dm2_15_mas,EstablecimientoCodigoAntiguo_master,EstablecimientoCodigo_master,codigo_madre_master,RegionCodigo_master,RegionGlosa_master,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,nivel_atencion_master,IdComuna_master,comuna_master,estado_funcionamiento_master,es_aps,sin_match_master
2023,2022,2023,109416,109416,Servicio de Salud Metropolitano Norte,Municipal,Colina,Posta de Salud Rural Colorado,13,7,6,3.588,1.599,09-416,109416,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Colorado,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,2022,2023,109417,109417,Servicio de Salud Metropolitano Norte,Municipal,Colina,Posta de Salud Rural Los Ingleses,45,14,31,12.42,5.535,09-417,109417,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Los Ingleses,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,2022,2023,109418,109418,Servicio de Salud Metropolitano Norte,Municipal,Colina,Posta de Salud Rural Las Canteras,42,15,27,11.592,5.166,09-418,109418,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Las Canteras,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,2022,2023,109419,109419,Servicio de Salud Metropolitano Norte,Municipal,Colina,Posta de Salud Rural Santa Marta de Liray,44,21,23,12.144,5.412,09-419,109419,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Santa Marta de Liray,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,2022,2023,109420,109420,Servicio de Salud Metropolitano Norte,Municipal,Colina,Posta de Salud Rural Chacabuco (Colina),25,10,15,6.9,3.075,09-420,109420,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Chacabuco (Colina),Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,2022,2023,109709,109709,Servicio de Salud Metropolitano Norte,Municipal,Conchalí,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,1266,462,804,349.416,155.718,09-709,109709,109309,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,2022,2023,109711,109711,Servicio de Salud Metropolitano Norte,Municipal,Lampa,Centro Comunitario de Salud Familiar Sol de Septiembre,3346,1458,1888,923.496,411.558,09-711,109711,109311,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Sol de Septiembre,Municipal,Primario,13302,Lampa,Vigente en Operación Habitual,True,False
2023,2022,2023,109712,109712,Servicio de Salud Metropolitano Norte,Municipal,Lampa,Centro Comunitario de Salud Familiar Batuco,4702,2155,2547,1297.752,578.346,09-712,109712,109312,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Batuco,Municipal,Primario,13302,Lampa,Vigente en Operación Habitual,True,False
2023,2022,2023,109713,109713,Servicio de Salud Metropolitano Norte,Municipal,Quilicura,Centro Comunitario de Salud Familiar La Foresta,1531,594,937,422.556,188.313,09-713,109713,109324,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar La Foresta,Municipal,Primario,13125,Quilicura,Vigente en Operación Habitual,True,False
2023,2022,2023,109715,109715,Servicio de Salud Metropolitano Norte,Municipal,Quilicura,Centro Comunitario de Salud Familiar Pucara de Lasana,2341,903,1438,646.116,287.943,09-715,109715,109315,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Pucara de Lasana,Municipal,Primario,13125,Quilicura,Vigente en Operación Habitual,True,False
2023,2022,2023,109716,109716,Servicio de Salud Metropolitano Norte,Municipal,Colina,Centro Comunitario de Salud Familiar Esmeralda,627,278,349,173.052,77.121,09-716,109716,109316,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Esmeralda,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,2022,2023,109718,109718,Servicio de Salud Metropolitano Norte,Municipal,Huechuraba,Centro Comunitario de Salud Familiar Los Libertadores,6795,2814,3980,1875.42,835.785,09-718,109718,109305,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Municipal,Primario,13107,Huechuraba,Vigente en Operación Habitual,True,False
2023,2022,2023,110160,110160,Servicio de Salud Metropolitano Occidente,Servicio de Salud,Curacaví,Hospital de Curacaví,15833,7363,8470,4369.908,1947.459,10-160,110160,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Hospital,Hospital de Curacaví,Servicio de Salud,,13503,Curacaví,Vigente en Operación Habitual,False,False
2023,2022,2023,110300,110300,Servicio de Salud Metropolitano Occidente,Servicio de Salud,Pudahuel,Centro de Referencia de Salud Salvador Allende,6,2,4,1.656,0.738,10-300,110300,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Referencia de Salud (CRS),Centro de Referencia de Salud Salvador Allende,Servicio de Salud,Secundario,13124,Pudahuel,Vigente en Operación Habitual,False,False
2023,2022,2023,110308,110308,Servicio de Salud Metropolitano Occidente,Municipal,Peñaflor,Centro de Salud Familiar Peñaflor,31338,14306,17032,8649.288,3854.574,10-308,110308,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Peñaflor,Municipal,Primario,13605,Peñaflor,Vigente en Operación Habitual,True,False
2023,2022,2023,110310,110310,Servicio de Salud Metropolitano Occidente,Servicio de Salud,Quinta Normal,Centro de Salud Familiar Andes,19407,8024,11382,5356.332,2387.061,10-310,110310,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Andes,Servicio de Salud,Primario,13126,Quinta Normal,Vigente en Operación Habitual,True,False
2023,2022,2023,110315,110315,Servicio de Salud Metropolitano Occidente,Municipal,Lo Prado,Centro de Salud Familiar Santa Anita,30053,13759,16294,8294.628,3696.519,10-315,110315,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Santa Anita,Municipal,Primario,13117,Lo Prado,Vigente en Operación Habitual,True,False
2023,2022,2023,110316,110316,Servicio de Salud Metropolitano Occidente,Municipal,Lo Prado,Centro de Salud Familiar Pablo Neruda,24050,10570,13480,6637.8,2958.15,10-316,110316,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Pablo Neruda,Municipal,Primario,13117,Lo Prado,Vigente en Operación Habitual,True,False
2023,2022,2023,110320,110320,Servicio de Salud Metropolitano Occidente,Municipal,Quinta Normal,Centro de Salud Familiar Lo Franco,31238,14134,17103,8621.688,3842.274,10-320,110320,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lo Franco,Municipal,Primario,13126,Quinta Normal,Vigente en Operación Habitual,True,False
2023,2022,2023,110325,110325,Servicio de Salud Metropolitano Occidente,Municipal,Quinta Normal,Centro de Salud Familiar Garín,26511,12333,14177,7317.036,3260.853,10-325,110325,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Garín,Municipal,Primario,13126,Quinta Normal,Vigente en Operación Habitual,True,False
2023,2022,2023,110330,110330,Servicio de Salud Metropolitano Occidente,Municipal,Cerro Navia,Centro de Salud Familiar Dr. Adalberto Steeger,31589,14982,16606,8718.564,3885.447,10-330,110330,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Adalberto Steeger,Municipal,Primario,13103,Cerro Navia,Vigente en Operación Habitual,True,False
2023,2022,2023,110331,110331,Servicio de Salud Metropolitano Occidente,Municipal,Cerro Navia,Centro de Salud Familiar Lo Amor,17283,8180,9103,4770.108,2125.809,10-331,110331,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lo Amor,Municipal,Primario,13103,Cerro Navia,Vigente en Operación Habitual,True,False
2023,2022,2023,110335,110335,Servicio de Salud Metropolitano Occidente,Municipal,Cerro Navia,Centro de Salud Familiar Cerro Navia,26613,12712,13901,7345.188,3273.399,10-335,110335,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cerro Navia,Municipal,Primario,13103,Cerro Navia,Vigente en Operación Habitual,True,False
2023,2022,2023,110340,110340,Servicio de Salud Metropolitano Occidente,Municipal,Lo Prado,Centro de Salud Familiar Dr. Raúl Yazigi,30512,13698,16814,8421.312,3752.976,10-340,110340,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Raúl Yazigi,Municipal,Primario,13117,Lo Prado,Vigente en Operación Habitual,True,False
2023,2022,2023,110345,110345,Servicio de Salud Metropolitano Occidente,Municipal,Lo Prado,Centro de Salud Familiar Dr. Avendaño,23656,10810,12846,6529.056,2909.688,10-345,110345,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Carlos Avendaño,Municipal,Primario,13117,Lo Prado,Vigente en Operación Habitual,True,False
2023,2022,2023,110350,110350,Servicio de Salud Metropolitano Occidente,Municipal,Pudahuel,Centro de Salud Familiar Pudahuel Estrella,49257,23613,25644,13594.932,6058.611,10-350,110350,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Pudahuel Estrella,Municipal,Primario,13124,Pudahuel,Vigente en Operación Habitual,True,False
2023,2022,2023,110351,110351,Servicio de Salud Metropolitano Occidente,Municipal,Pudahuel,Consultorio Pudahuel Poniente,31168,14480,16688,8602.368,3833.664,10-351,110351,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Pudahuel Poniente,Municipal,Primario,13124,Pudahuel,Vigente en Operación Habitual,True,False
2023,2022,2023,110352,110352,Servicio de Salud Metropolitano Occidente,Municipal,Pudahuel,Centro de Salud Familiar Dr. Gustavo Molina,29591,13788,15803,8167.116,3639.693,10-352,110352,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Gustavo Molina,Municipal,Primario,13124,Pudahuel,Vigente en Operación Habitual,True,False
2023,2022,2023,110353,110353,Servicio de Salud Metropolitano Occidente,Municipal,Pudahuel,Centro de Salud Familiar Cardenal Raúl Silva Henríquez de Pudahuel,19669,8857,10812,5428.644,2419.287,10-353,110353,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cardenal Raúl Silva Henríquez,Municipal,Primario,13124,Pudahuel,Vigente en Operación Habitual,True,False
2023,2022,2023,110354,110354,Servicio de Salud Metropolitano Occidente,Municipal,Pudahuel,Centro de Salud Familiar Violeta Parra,39411,16906,22504,10877.436,4847.553,10-354,110354,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Violeta Parra,Municipal,Primario,13124,Pudahuel,Vigente en Operación Habitual,True,False
2023,2022,2023,110355,110355,Servicio de Salud Metropolitano Occidente,Municipal,Cerro Navia,Centro de Salud Familiar Dr. Arturo Albertz,28210,13371,14838,7785.96,3469.83,10-355,110355,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Arturo Albertz,Municipal,Primario,13103,Cerro Navia,Vigente en Operación Habitual,True,False
2023,2022,2023,110360,110360,Servicio de Salud Metropolitano Occidente,Municipal,Renca,Centro de Salud Familiar Renca,46855,21381,25473,12931.98,5763.165,10-360,110360,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Renca,Municipal,Primario,13128,Renca,Vigente en Operación Habitual,True,False
2023,2022,2023,110361,110361,Servicio de Salud Metropolitano Occidente,Municipal,Renca,Centro de Salud Familiar Bicentenario,22896,9502,13394,6319.296,2816.208,10-361,110361,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Bicentenario,Municipal,Primario,13128,Renca,Vigente en Operación Habitual,True,False
2023,2022,2023,110362,110362,Servicio de Salud Metropolitano Occidente,Municipal,Renca,Centro de Salud Familiar Dr. Hernán Urzúa Merino,24095,11773,12322,6650.22,2963.685,10-362,110362,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Hernán Urzúa Merino,Municipal,Primario,13128,Renca,Vigente en Operación Habitual,True,False
2023,2022,2023,110364,110364,Servicio de Salud Metropolitano Occidente,Municipal,Renca,Centro de Salud Familiar Huamachuco,14126,6817,7308,3898.776,1737.498,10-364,110364,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huamachuco,Municipal,Primario,13128,Renca,Vigente en Operación Habitual,True,False
2023,2022,2023,110366,110366,Servicio de Salud Metropolitano Occidente,Municipal,Padre Hurtado,Centro de Salud Familiar Juan Pablo II de Padre Hurtado,40972,18433,22538,11308.272,5039.556,10-366,110366,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Pablo II ( Padre Hurtado),Municipal,Primario,13604,Padre Hurtado,Vigente en Operación Habitual,True,False
2023,2022,2023,110369,110369,Servicio de Salud Metropolitano Occidente,Municipal,Peñaflor,Centro de Salud Familiar Dr. Fernando Monckeberg,32897,15537,17360,9079.572,4046.331,10-369,110369,,13,Metropolitana de Santiago,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Fernando Monckeberg,Municipal,Primario,13605,Peñaflor,Vigente en Operación Habitual,True,False
