rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,codigo_columna,columna_excel,columna_indice_excel,columna_detalle,columna_categoria,columna_subcategoria,columna_sub_subcategoria,columna_nivel_4,columna_nivel_5,columna_niveles,fila_excel
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL11,N,14,RANGO ETARIO Y SEXO - 30 a 34 años - Mujeres,RANGO ETARIO Y SEXO,30 a 34 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '30 a 34 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL12,O,15,RANGO ETARIO Y SEXO - 35 a 39 años - Hombres,RANGO ETARIO Y SEXO,35 a 39 años,Hombres,,,"['RANGO ETARIO Y SEXO', '35 a 39 años', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL13,P,16,RANGO ETARIO Y SEXO - 35 a 39 años - Mujeres,RANGO ETARIO Y SEXO,35 a 39 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '35 a 39 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL14,Q,17,RANGO ETARIO Y SEXO - 40 a 44 años - Hombres,RANGO ETARIO Y SEXO,40 a 44 años,Hombres,,,"['RANGO ETARIO Y SEXO', '40 a 44 años', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL15,R,18,RANGO ETARIO Y SEXO - 40 a 44 años - Mujeres,RANGO ETARIO Y SEXO,40 a 44 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '40 a 44 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL16,S,19,RANGO ETARIO Y SEXO - 45 a 49 años - Hombres,RANGO ETARIO Y SEXO,45 a 49 años,Hombres,,,"['RANGO ETARIO Y SEXO', '45 a 49 años', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL17,T,20,RANGO ETARIO Y SEXO - 45 a 49 años - Mujeres,RANGO ETARIO Y SEXO,45 a 49 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '45 a 49 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL18,U,21,RANGO ETARIO Y SEXO - 50 a 54 años - Hombres,RANGO ETARIO Y SEXO,50 a 54 años,Hombres,,,"['RANGO ETARIO Y SEXO', '50 a 54 años', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL19,V,22,RANGO ETARIO Y SEXO - 50 a 54 años - Mujeres,RANGO ETARIO Y SEXO,50 a 54 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '50 a 54 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL20,W,23,RANGO ETARIO Y SEXO - 55 a 59 años - Hombres,RANGO ETARIO Y SEXO,55 a 59 años,Hombres,,,"['RANGO ETARIO Y SEXO', '55 a 59 años', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL21,X,24,RANGO ETARIO Y SEXO - 55 a 59 años - Mujeres,RANGO ETARIO Y SEXO,55 a 59 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '55 a 59 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL22,Y,25,RANGO ETARIO Y SEXO - 60 a 64 años - Hombres,RANGO ETARIO Y SEXO,60 a 64 años,Hombres,,,"['RANGO ETARIO Y SEXO', '60 a 64 años', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL23,Z,26,RANGO ETARIO Y SEXO - 60 a 64 años - Mujeres,RANGO ETARIO Y SEXO,60 a 64 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '60 a 64 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL24,AA,27,RANGO ETARIO Y SEXO - 65 a 69 años - Hombres,RANGO ETARIO Y SEXO,65 a 69 años,Hombres,,,"['RANGO ETARIO Y SEXO', '65 a 69 años', 'Hombres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL25,AB,28,RANGO ETARIO Y SEXO - 65 a 69 años - Mujeres,RANGO ETARIO Y SEXO,65 a 69 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '65 a 69 años', 'Mujeres']",13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,COL26,AC,29,RANGO ETARIO Y SEXO - 70 a 74 años - Hombres,RANGO ETARIO Y SEXO,70 a 74 años,Hombres,,,"['RANGO ETARIO Y SEXO', '70 a 74 años', 'Hombres']",13
