rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,codigo_columna,columna_excel,columna_indice_excel,columna_detalle,columna_categoria,columna_subcategoria,columna_sub_subcategoria,columna_nivel_4,columna_nivel_5,columna_niveles,fila_excel
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL14,Q,17,RANGO ETARIO Y SEXO - 40 a 44 años - Hombres,RANGO ETARIO Y SEXO,40 a 44 años,Hombres,,,"['RANGO ETARIO Y SEXO', '40 a 44 años', 'Hombres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL15,R,18,RANGO ETARIO Y SEXO - 40 a 44 años - Mujeres,RANGO ETARIO Y SEXO,40 a 44 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '40 a 44 años', 'Mujeres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL16,S,19,RANGO ETARIO Y SEXO - 45 a 49 años - Hombres,RANGO ETARIO Y SEXO,45 a 49 años,Hombres,,,"['RANGO ETARIO Y SEXO', '45 a 49 años', 'Hombres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL17,T,20,RANGO ETARIO Y SEXO - 45 a 49 años - Mujeres,RANGO ETARIO Y SEXO,45 a 49 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '45 a 49 años', 'Mujeres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL18,U,21,RANGO ETARIO Y SEXO - 50 a 54 años - Hombres,RANGO ETARIO Y SEXO,50 a 54 años,Hombres,,,"['RANGO ETARIO Y SEXO', '50 a 54 años', 'Hombres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL19,V,22,RANGO ETARIO Y SEXO - 50 a 54 años - Mujeres,RANGO ETARIO Y SEXO,50 a 54 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '50 a 54 años', 'Mujeres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL20,W,23,RANGO ETARIO Y SEXO - 55 a 59 años - Hombres,RANGO ETARIO Y SEXO,55 a 59 años,Hombres,,,"['RANGO ETARIO Y SEXO', '55 a 59 años', 'Hombres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL21,X,24,RANGO ETARIO Y SEXO - 55 a 59 años - Mujeres,RANGO ETARIO Y SEXO,55 a 59 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '55 a 59 años', 'Mujeres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL22,Y,25,RANGO ETARIO Y SEXO - 60 a 64 años - Hombres,RANGO ETARIO Y SEXO,60 a 64 años,Hombres,,,"['RANGO ETARIO Y SEXO', '60 a 64 años', 'Hombres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL23,Z,26,RANGO ETARIO Y SEXO - 60 a 64 años - Mujeres,RANGO ETARIO Y SEXO,60 a 64 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '60 a 64 años', 'Mujeres']",17
