Ano,indicador_id,nombre_indicador,grupo_indicador,unidad,estado_calculo,metodo_calculo,numerador,denominador,establecimientos_reportantes,establecimientos_con_denominador,nivel,calculable,valor,IdServicio,servicio_salud,IdComuna,comuna,IdEstablecimiento,establecimiento,tipo_establecimiento,dependencia,nivel_atencion,estado_funcionamiento,es_aps,valor_orden
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",9632.0,18479.58,3,2,comuna,True,52.1223967211376,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,,,,,,,,52.1223967211376
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",24065.0,58502.064,6,6,comuna,True,41.13530079895985,11,Servicio de Salud Metropolitano Central,13101,Santiago,,,,,,,,41.13530079895985
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",7378.0,11356.572,3,3,comuna,True,64.96678751299247,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,,,,,,,,64.96678751299247
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",8424.0,20975.448,4,4,comuna,True,40.16123994109685,11,Servicio de Salud Metropolitano Central,13106,Estación Central,,,,,,,,40.16123994109685
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",42907.0,67504.08,16,14,comuna,True,63.56208395107377,11,Servicio de Salud Metropolitano Central,13119,Maipú,,,,,,,,63.56208395107377
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",6545.0,9989.82,2,4,comuna,True,65.51669599652446,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,,,,,,,,65.51669599652446
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",13584.0,19797.756,2,2,comuna,True,68.61383684090258,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,,,,,,,,68.61383684090258
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",5284.0,10314.948,2,4,comuna,True,51.22662760878678,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,,,,,,,,51.22662760878678
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",16202.0,30245.184,3,4,comuna,True,53.5688590950546,12,Servicio de Salud Metropolitano Oriente,13118,Macul,,,,,,,,53.5688590950546
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",15455.0,20769.552,2,3,comuna,True,74.41181206026977,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,,,,,,,,74.41181206026977
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",29221.0,48778.584,7,8,comuna,True,59.90538798748237,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,,,,,,,,59.90538798748237
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",10771.0,17176.86,3,6,comuna,True,62.706455079682776,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,,,,,,,,62.706455079682776
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",2874.0,4810.128,1,1,comuna,True,59.74892975821018,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,,,,,,,,59.74892975821018
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",21455.0,40998.695999999996,8,8,comuna,True,52.330932671614725,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,,,,,,,,52.330932671614725
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",8718.0,16638.66,3,3,comuna,True,52.39604631622979,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,,,,,,,,52.39604631622979
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",11950.0,22447.632,4,4,comuna,True,53.235013831303,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,,,,,,,,53.235013831303
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",14203.0,26026.524,5,6,comuna,True,54.57125200430145,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,,,,,,,,54.57125200430145
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",13097.0,22020.108,9,9,comuna,True,59.47745578722865,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,,,,,,,,59.47745578722865
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",11532.0,22087.176,4,3,comuna,True,52.211292199600344,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,,,,,,,,52.211292199600344
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",30269.0,56140.884,13,11,comuna,True,53.91614424881518,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,,,,,,,,53.91614424881518
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",12142.0,21281.808,10,9,comuna,True,57.05342328057842,13,Servicio de Salud Metropolitano Sur,13402,Buin,,,,,,,,57.05342328057842
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",2660.0,4371.2880000000005,2,3,comuna,True,60.8516300001281,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,,,,,,,,60.8516300001281
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",10805.0,16026.768,7,7,comuna,True,67.4184589182298,13,Servicio de Salud Metropolitano Sur,13404,Paine,,,,,,,,67.4184589182298
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",44749.0,79783.872,9,10,comuna,True,56.087776737634385,14,Servicio de Salud Metropolitano Sur Oriente,13110,La Florida,,,,,,,,56.087776737634385
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",16765.0,33811.38,6,6,comuna,True,49.58389749250105,14,Servicio de Salud Metropolitano Sur Oriente,13111,La Granja,,,,,,,,49.58389749250105
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",20511.0,36266.4,7,7,comuna,True,56.556482032956126,14,Servicio de Salud Metropolitano Sur Oriente,13112,La Pintana,,,,,,,,56.556482032956126
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",11744.0,18845.28,4,4,comuna,True,62.31799156075155,14,Servicio de Salud Metropolitano Sur Oriente,13131,San Ramón,,,,,,,,62.31799156075155
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",68667.0,95042.256,10,10,comuna,True,72.24891631360266,14,Servicio de Salud Metropolitano Sur Oriente,13201,Puente Alto,,,,,,,,72.24891631360266
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",4705.0,5663.5199999999995,5,5,comuna,True,83.0755431251236,14,Servicio de Salud Metropolitano Sur Oriente,13202,Pirque,,,,,,,,83.0755431251236
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",2001.0,595.884,4,3,comuna,True,335.8036127836961,14,Servicio de Salud Metropolitano Sur Oriente,13203,San José de Maipo,,,,,,,,335.8036127836961
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",3297.0,7001.292,1,1,establecimiento,True,47.09130828995563,09,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,47.09130828995563
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",4080.0,6689.136,1,1,establecimiento,True,60.9944243920291,09,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,60.9944243920291
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",3269.0,6380.568,1,1,establecimiento,True,51.23368327083105,09,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,51.23368327083105
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",4649.0,6211.38,1,1,establecimiento,True,74.84649143990546,09,Servicio de Salud Metropolitano Norte,13104,Conchalí,109314,Centro de Salud Familiar Juanita Aguirre,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,74.84649143990546
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",1465.0,486.312,1,1,establecimiento,True,301.2469361233118,09,Servicio de Salud Metropolitano Norte,13104,Conchalí,109709,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Primario,Vigente en Operación Habitual,True,301.2469361233118
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",898.0,321.816,1,1,establecimiento,True,279.0414398289706,09,Servicio de Salud Metropolitano Norte,13104,Conchalí,200347,Centro Comunitario de Salud Familiar Alberto Bachelet,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Primario,Vigente en Operación Habitual,True,279.0414398289706
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",862.0,0.0,1,0,establecimiento,False,,09,Servicio de Salud Metropolitano Norte,13104,Conchalí,200609,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Primario,Vigente en Operación Habitual,True,
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",3989.0,5981.472,1,1,establecimiento,True,66.68926979847102,09,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109305,Centro de Salud Familiar La Pincoya,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,66.68926979847102
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",2005.0,3001.776,1,1,establecimiento,True,66.79379140881932,09,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109317,Centro de Salud Familiar El Barrero,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,66.79379140881932
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",2439.0,4412.412,1,1,establecimiento,True,55.27588992143072,09,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109323,Centro de Salud Familiar Dr. Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,55.27588992143072
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",1260.0,1907.988,1,1,establecimiento,True,66.03815118334077,09,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109718,Centro Comunitario de Salud Familiar Los Libertadores,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Primario,Vigente en Operación Habitual,True,66.03815118334077
